S.No,Date,Festivity,Area,Description(If needed),Duration,Interest groups, Regional/Religion-based/Lunar/Solar calendars,If spend/not,Total spend happened(Reserach),
242,18-08-2024,Raksha Bandhan,Rajasthan,Celebrating the bond between siblings,,Hindu,Lunar (Shravana Purnima),1,350000000,
243,18-08-2024,Raksha Bandhan,Punjab,Celebrating the bond between siblings,,Hindu,Lunar (Shravana Purnima),1,350000000,
244,19-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
245,20-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
246,21-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
247,22-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
248,23-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
249,24-08-2024,Janmashtami,Uttar Pradesh,Birth of Lord Krishna,,Hindu,Lunar (Bhadrapada),1,400000000,
250,24-08-2024,Janmashtami, Maharashtra,Birth of Lord Krishna,,Hindu,Lunar (Bhadrapada),1,400000000,
251,25-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
252,26-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
253,27-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
254,28-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
255,29-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
256,30-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
257,31-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
258,01-09-2024,Na,Na,National celebration,Na,Na,Na,,NA,
259,02-09-2024,Pola,"Maharashta, Chhatisgarh",harvest frstival,Na,Na,Hindu lunar(Kartika),,NA,
260,03-09-2024,Na,Na,Na,Na,Na,Na,NA,NA,
261,04-09-2024,Na,Na,Na,Na,Na,Na,,NA,
262,05-09-2024,Na,Na,Na,Na,Na,Na,,NA,
263,06-09-2024,Hartalika Tej,North India,National celebration,Na,Na,Na,,NA,
264,07-09-2024,Ganesh Chaturthi,"Maharashtra, Goa, Karnataka",Aagman,11 days,Na,Na,,NA,
265,08-09-2024,Nuakhai,Odisha,Rice Harvest,Na ,Na,Na,,NA,
266,09-09-2024,Skanda Sashti,Tamil Nadu,for Lord Murugan,Na ,Na,Na,,NA,
267,10-09-2024,Na,Na,Na,Na ,Na,Na,,NA,
268,11-09-2024,"Radha Ashtami, Mahalakshmi vrat","North India, West India",Na,Na ,Na,Na,,NA,
269,12-09-2024,Na,Na,Na,Na ,Na,Na,,NA,
270,13-09-2024,Na,Na,Na,Na ,Na,Na,,NA,
271,14-09-2024,Na,Na,Na,Na ,Na,Na,,NA,
272,15-09-2024,Onam,Kerala,Na,Na ,Na,Na,,NA,
273,16-09-2024,Anant Chaturdashi,"Maharashtra, Goa, Karnataka",Visarjan,Na ,Na,Na,,NA,
274,17-09-2024,Vishwakarma Puja,Na,festival dedicated to Lord Vishwakarma,Na ,1 day,Na,,NA,
275,18-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
276,19-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
277,20-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
278,21-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
279,22-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
280,23-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
281,24-09-2024,Jivitputrika Vrat,Bihar and Uttar Pradesh,fasting festival,1 day,Na ,Na,,NA,
282,25-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
283,26-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
284,27-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
285,28-09-2024,Bathukamma,Telangana,Worship goddess Gauri,1 day,Na ,Na,,NA,
286,29-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
287,30-09-2024,Na,Na,Na,Na ,Na ,Na,,NA,
288,01-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
289,02-10-2024,"Mahatma Gandhi Jayanti, Lal Bahadur Shastri Jayanti",All over India,Na,1 day,Na ,Na,,NA,
290,03-10-2024,Navratri,"Gujrat, Maharashtra",Na,9 days,Na ,Na,,NA,
291,04-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
292,05-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
293,06-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
294,07-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
295,08-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
296,09-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
297,10-10-2024,Durga Pooja,"West Bengal, Odisha, Assam, and Bihar,",Na,4days,Na ,Na,,NA,
298,11-10-2024,Na,Na,Na,Na ,Na,Na,,NA,
299,12-10-2024,Dussehra,"Gujrat, Maharashtra, West Bengal",Na,1 day,Na ,Na,,NA,
300,13-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
301,14-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
302,15-10-2024,Eid-e-Milad,All over the nation,Na,1 day,Na ,Na,,NA,
303,15-10-2024,APJ Abdul Kalam Birth Anniversary,All over the nation,Na,1 day,Na ,Na,,NA,
304,16-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
305,17-10-2024,Sharad Purnima,Gujarat and West Bengal,Na,1 day,Na ,Na,,NA,
306,17-10-2024,Valmiki Jayanti,all over India,Na,1 days,Na ,Na,,NA,
307,18-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
308,19-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
309,20-10-2024,Karwa Chauth,North India,Na,1 day,Na ,Na,,NA,
310,21-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
311,22-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
312,23-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
313,24-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
314,25-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
315,26-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
316,27-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
317,28-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
318,29-10-2024,Na,Na,Na,Na ,Na ,Na,,NA,
319,30-10-2024,Chhath Puja,"Bihar, Jharkhand, and Eastern Uttar Pradesh",,,,,,NA,
320,31-10-2024,Sardar Vallabhbhai Patel Jayanti,All over Nation,,1 day,,,,NA,
321,01-11-2024,Kannada Rajyotsava,Karnataka,NA,1 Day,Karnataka Residents,Gregorian solar calender,Yes,50000,
322,02-11-2024,All soul's day,Kerala,Christian community,1 day,Christian community,chistian calender,yes,30000,
323,03-11-2024,deepawali,North india,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,100000,
324,04-11-2024,Chhath puja (Naha kha),Uttar pradesh,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,60000,
325,05-11-2024,Vaikuntha chaturdashi,Maharastra,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,55000,
326,06-11-2024,Chhath puja (Kharna),"Uttar pradesh, bihar",NA,1 day,Hindu,Hindu lunar(Kartika),yes,70000,
327,07-11-2024,Chhath puja(sandhya arghya),"Uttar pradesh, bihar",NA,1 day,Hindu,Hindu lunar(Kartika),Yes,85000,
328,08-11-2024,Chhath puja (usha arghya),"Uttar pradesh, bihar",NA,1 day,Uttarakhand residents,Gregorian solar calender,Yes,45000,
329,09-11-2024,Uttarakhand foundation day,Uttarakhand,NA,1 day,"scientific, educational",Gregorian solar calender,Yes,40000,
330,10-11-2024,World science day for peace and development,Global,NA,1 day,Educational,Gregorian solar calender,Yes,30000,
331,11-11-2024,National education day,India,Birth anniversary of Maulana Abul Kalam Azad,1 day,Sikh,Sikh Nanakshahi calender,yes,70000,
332,12-11-2024,Guru Nanak Jayanti,Punjab,NA,1 day,Hindu,Hindu lunar(Kartika),Yes,50000,
